# Created by CS-Studio Data Browser
# 
# Start Time : 2026-05-02 17:16:28.027
# End Time   : 2026-05-02 17:46:28.027
# Source     : Plot
# Format     : Default
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: HS1P2K3RP:setCur
# Name   : dep: HS1P2K3RP:setCur
# Archives:
# 
# Channel: HS3P1L4RP:setCur
# Name   : dep: HS3P1L4RP:setCur
# Archives:
# 
# Channel: HS3P2L4RP:setCur
# Name   : dep: HS3P2L4RP:setCur
# Archives:
# 
# Channel: HS1P1K1RP:setCur
# Name   : dep: HS1P1K1RP:setCur
# Archives:
# 
# Channel: AKC05VP
# Name   : dep: AKC05VP
# Archives:
# 
# Channel: AKC06VP
# Name   : dep: AKC06VP
# Archives:
# 
# Channel: AKC10VP
# Name   : dep: AKC10VP
# Archives:
# 
# Channel: AKC11VP
# Name   : dep: AKC11VP
# Archives:
# 
# Channel: AKC12VP
# Name   : dep: AKC12VP
# Archives:
# 
# Channel: AKC13VP
# Name   : dep: AKC13VP
# Archives:
# 
# Channel: bump_i2
# Name   : 0.5 + 0.02·ΣI² path-length proxy
# 
# Channel: bump_abs
# Name   : 1.8 + 0.05·Σ|I| activity proxy
# 
# Channel: bump_common
# Name   : 3.1 + 0.1·common mode current
# 
# Channel: bump_pairbal
# Name   : 4.4 + 0.2·pair balance (K3 vs L4)
# 
# Channel: bump_lrbal
# Name   : 5.7 + 0.2·left-right imbalance
# 
# Channel: HS1P2K3RP:setCur
# Name   : raw HS1P2K3RP:setCur / I1 K3-left (optional)
# Archives:
# 
# Channel: HS3P1L4RP:setCur
# Name   : raw HS3P1L4RP:setCur / I2 L4-1 (optional)
# Archives:
# 
# Channel: HS3P2L4RP:setCur
# Name   : raw HS3P2L4RP:setCur / I3 L4-2 (optional)
# Archives:
# 
# Channel: HS1P1K1RP:setCur
# Name   : raw HS1P1K1RP:setCur / I4 K1/K3? (optional)
# Archives:
# 
# Channel: AKC05VP
# Name   : AKC05VP important original loop/readback
# Archives:
# 
# Channel: AKC06VP
# Name   : AKC06VP important original loop/readback
# Archives:
# 
# Channel: AKC10VP
# Name   : AKC10VP enable optional
# Archives:
# 
# Channel: AKC11VP
# Name   : AKC11VP gain optional
# Archives:
# 
# Channel: AKC12VP
# Name   : AKC12VP reference optional
# Archives:
# 
# Channel: AKC13VP
# Name   : AKC13VP deadband optional
# Archives:
# 

# Time	HS1P2K3RP:setCur Value	HS3P1L4RP:setCur Value	HS3P2L4RP:setCur Value	HS1P1K1RP:setCur Value	AKC05VP Value	AKC06VP Value	AKC10VP Value	AKC11VP Value	AKC12VP Value	AKC13VP Value	bump_i2 Value	bump_abs Value	bump_common Value	bump_pairbal Value	bump_lrbal Value	HS1P2K3RP:setCur Value	HS3P1L4RP:setCur Value	HS3P2L4RP:setCur Value	HS1P1K1RP:setCur Value	AKC05VP Value	AKC06VP Value	AKC10VP Value	AKC11VP Value	AKC12VP Value	AKC13VP Value
2026-05-02 17:28:30.239	0.0639924	0.2376511	-0.0899489	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639924	0.2376511	-0.0899489	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:30.242	0.0639924	0.2376529	-0.0899471	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639924	0.2376529	-0.0899471	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:30.742	0.0639924	0.2376546	-0.0899471	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639924	0.2376546	-0.0899471	-0.0165038	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:30.749	0.0639962	0.2376546	-0.0899471	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639962	0.2376546	-0.0899471	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:30.752	0.0639962	0.2376546	-0.0899454	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639962	0.2376546	-0.0899454	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:31.249	0.0640003	0.2376546	-0.0899454	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640003	0.2376546	-0.0899454	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:31.252	0.0640003	0.2376564	-0.0899437	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640003	0.2376564	-0.0899437	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:31.749	0.0640038	0.2376564	-0.0899437	-0.0164927	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640038	0.2376564	-0.0899437	-0.0164927	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:31.752	0.0640038	0.2376579	-0.0899421	-0.0164927	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640038	0.2376579	-0.0899421	-0.0164927	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:47.779	0.0640002	0.2376579	-0.0899421	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640002	0.2376579	-0.0899421	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:47.792	0.0640002	0.2376563	-0.0899437	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0640002	0.2376563	-0.0899437	-0.0164962	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:48.279	0.0639962	0.2376563	-0.0899437	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639962	0.2376563	-0.0899437	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:48.282	0.0639962	0.2376546	-0.0899455	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639962	0.2376546	-0.0899455	-0.0165001	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:48.789	0.0639922	0.2376546	-0.0899455	-0.0165040	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639922	0.2376546	-0.0899455	-0.0165040	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:48.792	0.0639922	0.2376528	-0.0899472	-0.0165040	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639922	0.2376528	-0.0899472	-0.0165040	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:49.289	0.0639874	0.2376528	-0.0899472	-0.0165086	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639874	0.2376528	-0.0899472	-0.0165086	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:49.292	0.0639874	0.2376507	-0.0899493	-0.0165086	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639874	0.2376507	-0.0899493	-0.0165086	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:49.789	0.0639829	0.2376507	-0.0899493	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639829	0.2376507	-0.0899493	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:49.792	0.0639829	0.2376488	-0.0899513	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639829	0.2376488	-0.0899513	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:50.292	0.0639829	0.2376469	-0.0899531	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639829	0.2376469	-0.0899531	-0.0165129	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:50.299	0.0639787	0.2376469	-0.0899531	-0.0165169	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639787	0.2376469	-0.0899531	-0.0165169	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:50.799	0.0639751	0.2376469	-0.0899531	-0.0165204	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639751	0.2376469	-0.0899531	-0.0165204	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:28:50.802	0.0639751	0.2376454	-0.0899547	-0.0165204	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639751	0.2376454	-0.0899547	-0.0165204	13.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:29:09.662	0.0639751	0.2376454	-0.0899547	-0.0165204	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639751	0.2376454	-0.0899547	-0.0165204	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:29:11.332	0.0639751	0.2376468	-0.0899547	-0.0165204	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639751	0.2376468	-0.0899547	-0.0165204	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
2026-05-02 17:29:11.339	0.0639784	0.2376468	-0.0899547	-0.0165172	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000	0.501	1.82	3.105	4.38	5.782	0.0639784	0.2376468	-0.0899547	-0.0165172	14.000000	-0.700000	1.000000	-0.001000	-2.000000	0.100000
