# Created by CS-Studio Data Browser
# 
# Start Time : 2026-05-02 17:17:10.523
# End Time   : 2026-05-02 17:47:10.524
# Source     : Plot
# Format     : Default
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: TUNEZRP:measX
# Name   : dep: TUNEZRP:measX
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : dep: TUNEZRP:measY
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : dep: TUNEZRP:measZ
# Archives:
# 
# Channel: MCLKHGP:rdFrq499
# Name   : dep: MCLKHGP:rdFrq499
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : dep: MCLKHGP:setFrq499
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : dep: PAHRP:NRVD:rdVoltCav
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : dep: PAHRP:setVoltCav
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : dep: Q1P1L2RP:setCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : dep: CUM1ZK3RP:rdCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdLt100
# Name   : dep: CUM1ZK3RP:rdLt100
# Archives:
# 
# Channel: TUNEZRP:measX
# Name   : νx absolute
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : νy absolute
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : νs absolute
# Archives:
# 
# Channel: mtune_x
# Name   : 0.8 + 1000·(νx−0.1779)
# 
# Channel: mtune_y
# Name   : 2.0 + 1000·(νy−0.2200)
# 
# Channel: mtune_s
# Name   : 3.2 + 1000·(νs−νs_ref=0)
# 
# Channel: MCLKHGP:rdFrq499
# Name   : RF freq readback
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : RF freq setpoint
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : cavity voltage readback
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : cavity voltage setpoint
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : Q1 current
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : beam current
# Archives:
# 

# Time	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value	CUM1ZK3RP:rdLt100 Value	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	mtune_x Value	mtune_y Value	mtune_s Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value
2026-05-02 17:28:29.795	1183.65	1466.14	59.14	687.462	687.752	108.90	100.00	21.42313	0.049	0.962	1183.65	1466.14	59.14	1,183,470.9	1,465,923	59,140.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:29.839	1183.65	1466.14	59.14	687.462	687.752	109.00	100.00	21.42313	0.049	0.962	1183.65	1466.14	59.14	1,183,470.9	1,465,923	59,140.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:30.386	1157.53	1466.14	59.14	687.462	687.752	109.00	100.00	21.42313	0.049	0.962	1157.53	1466.14	59.14	1,157,349.9	1,465,923	59,140.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:30.386	1157.53	1474.63	59.14	687.462	687.752	109.00	100.00	21.42313	0.049	0.962	1157.53	1474.63	59.14	1,157,349.9	1,474,413	59,140.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:30.386	1157.53	1474.63	58.72	687.462	687.752	109.00	100.00	21.42313	0.049	0.962	1157.53	1474.63	58.72	1,157,349.9	1,474,413	58,719.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:30.796	1157.53	1474.63	58.72	687.462	687.752	109.00	100.00	21.42313	0.049	0.961	1157.53	1474.63	58.72	1,157,349.9	1,474,413	58,719.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:30.797	1157.53	1474.63	58.72	687.462	687.752	109.00	100.00	21.42313	0.048	0.961	1157.53	1474.63	58.72	1,157,349.9	1,474,413	58,719.2	687.462	687.752	109.00	100.00	21.42313	0.048
2026-05-02 17:28:31.389	1149.83	1474.63	58.72	687.462	687.752	109.00	100.00	21.42313	0.048	0.961	1149.83	1474.63	58.72	1,149,652.9	1,474,413	58,719.2	687.462	687.752	109.00	100.00	21.42313	0.048
2026-05-02 17:28:31.389	1149.83	1402.99	58.72	687.462	687.752	109.00	100.00	21.42313	0.048	0.961	1149.83	1402.99	58.72	1,149,652.9	1,402,770	58,719.2	687.462	687.752	109.00	100.00	21.42313	0.048
2026-05-02 17:28:31.389	1149.83	1402.99	53.66	687.462	687.752	109.00	100.00	21.42313	0.048	0.961	1149.83	1402.99	53.66	1,149,652.9	1,402,770	53,664.2	687.462	687.752	109.00	100.00	21.42313	0.048
2026-05-02 17:28:31.788	1149.83	1402.99	53.66	687.462	687.752	109.00	100.00	21.42313	0.048	1.016	1149.83	1402.99	53.66	1,149,652.9	1,402,770	53,664.2	687.462	687.752	109.00	100.00	21.42313	0.048
2026-05-02 17:28:31.789	1149.83	1402.99	53.66	687.462	687.752	109.00	100.00	21.42313	0.049	1.016	1149.83	1402.99	53.66	1,149,652.9	1,402,770	53,664.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:32.384	1170.06	1402.99	53.66	687.462	687.752	109.00	100.00	21.42313	0.049	1.016	1170.06	1402.99	53.66	1,169,881.9	1,402,770	53,664.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:32.384	1170.06	1472.45	53.66	687.462	687.752	109.00	100.00	21.42313	0.049	1.016	1170.06	1472.45	53.66	1,169,881.9	1,472,228	53,664.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:32.384	1170.06	1472.45	58.02	687.462	687.752	109.00	100.00	21.42313	0.049	1.016	1170.06	1472.45	58.02	1,169,881.9	1,472,228	58,028.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:32.809	1170.06	1472.45	58.02	687.462	687.752	109.00	100.00	21.42313	0.049	1.037	1170.06	1472.45	58.02	1,169,881.9	1,472,228	58,028.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:32.811	1170.06	1472.45	58.02	687.462	687.752	109.00	100.00	21.42313	0.049	1.037	1170.06	1472.45	58.02	1,169,881.9	1,472,228	58,028.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:33.387	1066.83	1472.45	58.02	687.462	687.752	109.00	100.00	21.42313	0.049	1.037	1066.83	1472.45	58.02	1,066,649.9	1,472,228	58,028.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:33.387	1066.83	1515.78	58.02	687.462	687.752	109.00	100.00	21.42313	0.049	1.037	1066.83	1515.78	58.02	1,066,649.9	1,515,558	58,028.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:33.387	1066.83	1515.78	43.95	687.462	687.752	109.00	100.00	21.42313	0.049	1.037	1066.83	1515.78	43.95	1,066,649.9	1,515,558	43,955.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:33.791	1066.83	1515.78	43.95	687.462	687.752	109.00	100.00	21.42313	0.049	0.974	1066.83	1515.78	43.95	1,066,649.9	1,515,558	43,955.2	687.462	687.752	109.00	100.00	21.42313	0.049
